date,pool,salinity,salinity2,pool_temp,total,unmarked,red,orange,pink,yellow,dead
20-05-03,11,0.33,NA,12.5,NA,NA,NA,NA,NA,NA,NA
20-05-03,15,0.75,NA,12.2,1,NA,NA,NA,NA,1,NA
21-03-27,1,0.29,NA,7.1,1,NA,NA,1,NA,NA,NA
21-03-27,8,0.15,NA,7.7,1,1,NA,NA,NA,NA,NA
21-03-27,12,0.26,NA,7.3,1,1,NA,NA,NA,NA,NA
21-03-27,13,0.37,NA,7.7,1,1,NA,NA,NA,NA,NA
21-03-27,15,0.28,NA,7.7,2,2,NA,NA,NA,NA,NA
21-03-27,0,NA,NA,NA,2,1,NA,1,NA,NA,NA
21-03-29,1,30.13,NA,9.3,NA,NA,NA,NA,NA,NA,NA
21-03-29,2,30.19,NA,9.7,NA,NA,NA,NA,NA,NA,NA
21-03-29,3,28.28,NA,9,NA,NA,NA,NA,NA,NA,NA
21-03-29,4,30.35,NA,9,NA,NA,NA,NA,NA,NA,NA
21-03-29,5,26.72,NA,11.2,NA,NA,NA,NA,NA,NA,NA
21-03-29,6,4.25,NA,8.2,NA,NA,NA,NA,NA,NA,NA
21-03-29,7,25.97,26.84,11.9,NA,NA,NA,NA,NA,NA,NA
21-03-29,8,30.43,NA,11.1,NA,NA,NA,NA,NA,NA,NA
21-03-29,9,1.23,NA,7.8,NA,NA,NA,NA,NA,NA,NA
21-03-29,10,28.09,NA,9.8,NA,NA,NA,NA,NA,NA,NA
21-03-29,11,28.52,NA,11,NA,NA,NA,NA,NA,NA,NA
21-03-29,12,21.86,NA,10.5,NA,NA,NA,NA,NA,NA,NA
21-03-29,13,30.26,NA,10.6,NA,NA,NA,NA,NA,NA,NA
21-03-29,15,21.64,NA,11.4,2,2,NA,NA,NA,NA,NA
21-03-30,1,14.71,NA,11.8,NA,NA,NA,NA,NA,NA,NA
21-03-30,2,13.65,NA,12.1,NA,NA,NA,NA,NA,NA,NA
21-03-30,3,15.63,15.63,11.9,NA,NA,NA,NA,NA,NA,NA
21-03-30,4,29.94,NA,10.1,NA,NA,NA,NA,NA,NA,NA
21-03-30,5,26.6,NA,12.4,NA,NA,NA,NA,NA,NA,NA
21-03-30,6,5.9,NA,8.1,NA,NA,NA,NA,NA,NA,NA
21-03-30,7,0.81,26.8,8,2,2,NA,NA,NA,NA,NA
21-03-30,8,25.3,NA,10.3,1,NA,NA,NA,NA,NA,1
21-03-30,8,30.1,NA,11.6,NA,NA,NA,NA,NA,NA,NA
21-03-30,10,26.4,NA,11.4,NA,NA,NA,NA,NA,NA,NA
21-03-30,11,26.4,NA,15,1,NA,NA,NA,NA,NA,1
21-03-30,12,8.2,NA,11.9,NA,NA,NA,NA,NA,NA,NA
21-03-30,13,29.5,NA,11,NA,NA,NA,NA,NA,NA,NA
21-03-30,15,5.57,NA,14,2,2,NA,NA,NA,NA,NA
21-04-01,1,23.86,NA,8.4,1,NA,NA,1,NA,NA,NA
21-04-01,2,14.94,NA,9.4,1,NA,1,NA,NA,NA,NA
21-04-01,5,21.1,NA,8.8,1,1,NA,NA,NA,NA,NA
21-04-01,6,0.3,NA,6.5,4,3,NA,1,NA,NA,NA
21-04-01,7,0.48,NA,7.3,12,7,NA,1,NA,4,NA
21-04-01,8,4.97,NA,9.7,1,1,NA,NA,NA,NA,NA
21-04-01,11,17.2,NA,8.9,3,3,NA,NA,NA,NA,NA
21-04-01,12,0.44,NA,6,1,1,NA,NA,NA,NA,NA
21-04-01,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-04-02,7,NA,NA,NA,5,5,NA,NA,NA,NA,NA
